,features,lables
1482,Ramos Horta has been a vocal leader of the opposition to Jakarta 's rule in the territory .,B-PER I-PER O O O O O O O O O B-LOC O O O O O O
1483,"Belo and Ramos Horta were awared the prize for their efforts to secure a peaceful solution to the issue of East Timor , a former Portuguese colony which Indonesia invaded in 1975 and annexed the following year .",B-PER O B-PER I-PER O O O O O O O O O O O O O O O O B-LOC I-LOC O O O B-MISC O O B-LOC O O O O O O O O O
1484,The United Nations has never recognised Jakarta 's move .,O B-ORG I-ORG O O O B-LOC O O O
1485,Alatas said the government 's position on the Nobel Peace Prize would have been different if it had been awarded solely to Belo .,B-PER O O O O O O O B-MISC I-MISC I-MISC O O O O O O O O O O O B-PER O
1486,"Asked if the Indonesian ambassador to Norway would have attended the ceremony if only Belo had been involved , Alatas replied : "" Probably , yes , but that is a hypothetical question . """,O O O B-MISC O O B-LOC O O O O O O O B-PER O O O O B-PER O O O O O O O O O O O O O O O
1487,"Alatas said on Tuesday that on his way back from Oslo , Belo would visit the Vatican to see the Pope , and would also meet German Chancellor Helmut Kohl in Bonn .",B-PER O O O O O O O O O B-LOC O B-PER O O O B-LOC O O O O O O O O O B-MISC O B-PER I-PER O B-LOC O
1488,"Kohl had wanted to meet Belo during the chancellor 's official visit to Indonesia last month , but the bishop was too busy in East Timor to come to Jakarta .",B-PER O O O O B-PER O O O O O O O B-LOC O O O O O O O O O O B-LOC I-LOC O O O B-LOC O
1489,-DOCSTART- China to open port in Hainan to foreign ships .,O B-LOC O O O O B-LOC O O O O
1490,BEIJING 1996-12-06,B-LOC O
1491,"China 's State Council , or cabinet , has given a port in the southern province of Hainan permission to open to foreign vessels , the Xinhua news agency said on Friday .",B-LOC O B-ORG I-ORG O O O O O O O O O O O O O B-LOC O O O O O O O O B-ORG O O O O O O
1492,Xinhua did not say when Qinglan port in Wenchang city would be opened to foreign vessels .,B-ORG O O O O B-LOC O O B-LOC O O O O O O O O
1493,"Wenchang has built a berth for 5,000 deadweight-tonne container ships at the port and invested 34 million yuan ( $ 4.1 million ) to dredge the harbour , Xinhua said .",B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O
1494,It gave no further details .,O O O O O O
1495,( $ 1 = 8.3 yuan ),O O O O O O O
1496,-DOCSTART- Government disperses protest with water cannons .,O O O O O O O O
1497,RANGOON 1996-12-07,B-LOC O
1498,"Burmese troops and riot police moved in to disperse a student street protest at a suburban road junction near the Ranyon ( Rangoon ) University early on Saturday , witnesses said .",B-MISC O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O
1499,They said police and troops used water cannons from fire engines to subdue about 120 university students sitting in at the centre of the junction at about 3 a.m. before they moved in to round them up .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1500,"The students , who had staged an 11-hour protest at the junction in northern Rangoon , were taken away in three vehicles .",O O O O O O O O O O O O O O B-LOC O O O O O O O O
1501,The witnesses said some of the students were hit with batons while they were herded onto the vehicles and it was believed they were taken to the Insein prison in suburban Rangoon .,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O B-LOC O
1502,"The protesting students , mostly from Rangoon University , were demanding the right to organise independent unions on campuses and the release of about 80 student leaders currently in jail .",O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O
1503,They were among 500 students who started demonstrating at the intersection on late Friday afternoon .,O O O O O O O O O O O O O O O O
1504,The protest was the second major one in five days in the capital .,O O O O O O O O O O O O O O
1505,-DOCSTART- Burmese students march briefly out of campus .,O B-MISC O O O O O O O
1506,Vithoon Amorn,B-PER I-PER
1507,RANGOON 1996-12-06,B-LOC O
1508,"About 200 Burmese students marched briefly from troubled Yangon Institute of Technology in northern Rangoon on Friday towards the University of Yangon six km ( four miles ) away , and returned to their campus , witnesses said .",O O B-MISC O O O O O B-ORG I-ORG I-ORG I-ORG O O B-LOC O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
1509,Seven truckloads of armed riot police and three fire engines were on standby at one of the junctions near the institute .,O O O O O O O O O O O O O O O O O O O O O O
1510,There were no clashes .,O O O O O
1511,""" They are now back in the YIT campus , "" an institute official who declined to be identified told Reuters by telephone .",O O O O O O O B-ORG O O O O O O O O O O O O B-ORG O O O
1512,One of two roads leading to the University of Yangon from the institute had been closed by authorities .,O O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O
1513,"But about 300 university students were still gathered outside the gates of their campus , witnesses said .",O O O O O O O O O O O O O O O O O O
1514,They were singing peacefully .,O O O O O
1515,"On Monday and Tuesday , students from the institute and the university launched protests against what they said was unfair handling by police of a brawl between some of their colleagues and restaurant owners in October .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1516,"On Tuesday and Wednesday , opposition leader Aung San Suu Kyi was restricted to her home by the military government to prevent her from being drawn into the protests .",O O O O O O O B-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O
1517,She was allowed to move freely on Thursday .,O O O O O O O O O
1518,The protest culminated at dawn on Tuesday with several hundred students being detained briefly by police in central Rangoon .,O O O O O O O O O O O O O O O O O O B-LOC O
1519,The street protests were the biggest seen in the capital since the student-led pro-democracry demonstrations of September 1988 when the junta crushed the uprising .,O O O O O O O O O O O O O O O O O O O O O O O O O
1520,Thousands were killed or imprisoned .,O O O O O O
1521,"Earlier on Friday some of the students , who were held briefly by police during the protests earlier this week , said they were still dissatisfied with the military government .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1522,They told Reuters they were unhappy that the ruling State Law and Order Restoration Council ( SLORC ) had not heeded their calls for the right to organise independent unions on campus .,O O B-ORG O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O
1523,""" We still want government answers to our demands .",O O O O O O O O O O
1524,"We want police punishment to be published in newspapers , "" one student said .",O O O O O O O O O O O O O O O
1525,But the students stressed their protests were non-political and they had no contact with Suu Kyi 's National League for Democracy ( NLD ) .,O O O O O O O O O O O O O O B-PER I-PER O B-ORG I-ORG I-ORG I-ORG O B-ORG O O
1526,"Suu Kyi , a Nobel laureate and daughter of independence hero Aung San , and key NLD officials have also denied any link with the students .",B-PER I-PER O O B-MISC O O O O O O B-PER I-PER O O O B-ORG O O O O O O O O O O
1527,"But they have said both parties had a "" moral link "" in that they were against police brutality and injustice .",O O O O O O O O O O O O O O O O O O O O O O
1528,The students also demanded the government announce punishments meted out to policemen who they said had manhandled students involved in a brawl with some restaurant owners near the Yangon institute in October .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O
1529,The students appealed to the government not to close the institute because of their latest demonstration .,O O O O O O O O O O O O O O O O O
1530,The institute was shut for nearly two years after the 1988 uprising .,O O O O O O O O O O O O O
1531,"On Friday , the road leading to Suu Kyi 's lakeside residence in central Rangoon remained closed by police .",O O O O O O O B-PER I-PER O O O O O B-LOC O O O O O
1532,-DOCSTART- Union leaders outraged by WTO snub to ILO head .,O O O O O B-ORG O O B-ORG O O
1533,SINGAPORE 1996-12-06,B-LOC O
1534,International trade union leaders on Friday expressed outrage that the head of the International Labour Organisation ( ILO ) had been barred from speaking at next week 's WTO meeting in Singapore .,O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O B-ORG O O B-LOC O
1535,"Bill Jordan , general secretary of the International Confederation of Free Trade Unions ( ICFTU ) , told a news conference the withdrawal of a WTO invitation to ILO director general Michel Hansenne was "" outrageous behaviour on the part of an organisation that wants to command respect in the world "" .",B-PER I-PER O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O B-ORG O O B-ORG O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O
1536,Jordan said a small group of developing nations that oppose linking trade talks and labour conditions had pressured World Trade Organisation ( WTO ) officials to prevent Hansenne from taking the platform to urge such links .,B-PER O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O
1537,""" It is to their shame that those who are responsible for encouraging this meeting responded ( to the pressure ) in silencing him , "" Jordan said after the opening of an ICFTU conference on international labour standards and trade .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O B-ORG O O O O O O O O
1538,The three-day trade union conference in Singapore hopes to push labour issues onto the WTO agenda .,O O O O O O B-LOC O O O O O O O B-ORG O O
1539,Jordan said the WTO 's credibility was at stake over the issue of trade and labour .,B-PER O O B-ORG O O O O O O O O O O O O O
1540,"The ICFTU said it wanted the WTO conference beginning on Monday to outlaw forced and child labour , end discrimination in hiring , and guarantee the right to join a union .",O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
1541,"Bill Brett , chairman of the ILO Workers Group , told Reuters before the news conference he was "" not too surprised , but very disappointed "" that the speaking invitation had been withdrawn .",B-PER I-PER O O O O B-ORG I-ORG I-ORG O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O
1542,""" Some governments are very determined to stop the issue ( of trade and labour rights ) being discussed , "" he said , adding that the Association of Southeast Asian Nations ( ASEAN ) seemed particularly hostile to the ILO agenda .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O B-ORG O O
1543,"ASEAN groups Brunei , Indonesia , Malaysia , the Philippines , Singapore , Thailand and Vietnam .",B-ORG O B-LOC O B-LOC O B-LOC O O B-LOC O B-LOC O B-LOC O B-LOC O
1544,"The ILO wants a trade and labour rights "" social clause "" included in the final ministerial statement issued by WTO leaders at the end of the meeting , the organization 's first ministerial-level gathering .",O B-ORG O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O
1545,"Speaking to ICFTU delegates , Richard Eglin , director of the WTO secretariat , said the WTO was capable of making a significant contribution to governmental efforts to solve social problems .",O O B-ORG O O B-PER I-PER O O O O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O
1546,But he said the WTO 's organisational structure made it difficult to impose on its members a social clause such as that called for by the ILO .,O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O B-ORG O
1547,-DOCSTART- Indian rubber demand seen outstripping production .,O B-MISC O O O O O O
1548,SINGAPORE 1996-12-06,B-LOC O
1549,"Indian rubber demand is seen outpacing local production in the 1996/97 April / March season and the trend will persist way into the next century , the chairman of the Rubber Board of India said on Friday .",B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O
1550,"K.J. Matthew said at the Asia Rubber Markets meeting here Indian production of natural rubber in 1996/97 will reach 547,000 tonnes against projected demand of 578,000 tonnes , a gap of 31,000 tonnes .",B-PER I-PER O O O B-MISC I-MISC I-MISC I-MISC O B-MISC O O O O O O O O O O O O O O O O O O O O O O O
1551,"For synthetic rubber , production reached 68,200 tonnes in 1995/96 while consumption in the same season hit 134,085 tonnes , Matthew added .",O O O O O O O O O O O O O O O O O O O O B-PER O O
1552,""" Though schemes designed to realise further increases in the production of natural rubber are being operated successfully , the demand-supply gap is expected to widen , "" he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1553,"Indian synthetic rubber output is not expected to rise significantly in the next season but demand will rise to 145,000 tonnes .",B-MISC O O O O O O O O O O O O O O O O O O O O O
1554,"Matthew estimates that by the 2000/01 season , the gap between natural rubber output and consumption will rise to 51,000 tonnes and 319,000 tonnes in 2010/11 .",B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
1555,"Natural rubber production will go up to 695,000 tonnes in 2000/01 against consumption of 746,000 tonnes .",O O O O O O O O O O O O O O O O O
1556,"In 2010/11 , domestic demand should rise further to 1.233 million tonnes while production will only reach about 914,000 tonnes .",O O O O O O O O O O O O O O O O O O O O O
1557,"One way to bridge the widening gap is to put more land under cultivation which the Rubber Board official estimates will reach 220,000 hectares between now and the year 2003 although Matthew said this may not be possible at this time in India .",O O O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O B-PER O O O O O O O O O O B-LOC O
1558,""" The development objective for the rubber plantation industry will be to increase production to the best extent possibly with a view to minimising imports of natural rubber , "" he said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1559,-- Singapore Newsroom ( 65-8703305 ),O B-ORG I-ORG O O O
1560,-DOCSTART- Japan 's authorities seen seeking to rein in dollar .,O B-LOC O O O O O O O O O
1561,George Nishiyama,B-PER I-PER
1562,TOKYO 1996-12-06,B-LOC O
1563,"Comments by Japan 's tight-lipped central bank chief and an influential top bureaucrat are further signs that the nation 's authorities want to keep the dollar at current levels , market sources said on Friday .",O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1564,"In a rare expression of a view on currencies by the Bank of Japan ( BOJ ) governor , Yasuo Matsushita was quoted in Japan 's leading economic daily on Friday as saying that he sees no further , immediate fall in the yen .",O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O B-PER I-PER O O O B-LOC O O O O O O O O O O O O O O O O O O O O
1565,"This followed a widely watched television appearance late on Thursday by Eisuke Sakakibara , a high-ranking Finance Ministry official , who denied he had said he wants to guide the dollar lower to between 108 and 110 yen .",O O O O O O O O O O O B-PER I-PER O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O
1566,"But many in the market thought Sakakibara 's real intentions lay elsewhere , and took more notice of his comments about the U.S. government 's stance on the dollar , dealers said .",O O O O O O B-PER O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O
1567,""" I think his views on ( U.S. Treasury Secretary Robert ) Rubin 's comments were indeed what he himself thinks about the dollar , "" said Hank Note , chief dealer at Sumitomo Bank .",O O O O O O O B-ORG I-ORG O B-PER O B-PER O O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG O
1568,"Asked about Rubin 's comment that a strong dollar was in U.S. interests , Sakakibara said the remark does not necessarily mean the United States supports a stronger dollar .",O O B-PER O O O O O O O O B-LOC O O B-PER O O O O O O O O B-LOC I-LOC O O O O O
1569,""" It 's a strong dollar , not stronger .",O O O O O O O O O O
1570,"In that sense , the comments are not pointing to a certain direction , "" he said .",O O O O O O O O O O O O O O O O O O
1571,""" It shows that Sakakibara is not for a stronger dollar either , "" said Sumitomo 's Note .",O O O O B-PER O O O O O O O O O O B-ORG O B-PER O
1572,"Takao Sakoh , first vice president at Union Bank of Switzerland in Tokyo , said : "" Maybe a dollar at 104.50 yen is not acceptable ( to Sakakibara ) , but it may be okay at the current level , at the lower end of 112 yen . """,B-PER I-PER O O O O O B-ORG I-ORG I-ORG I-ORG O B-LOC O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O
1573,"Market participants have kept a close eye on Sakakibara , chief of the ministry 's International Finance Bureau , as a comment he made in November after the dollar hit this year 's high of 114.92 yen pushed the currency down sharply .",O O O O O O O O B-PER O O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
1574,He had said then that the market 's view on Japan 's economy was too pessimistic and that he believed it was stronger than the market thought .,O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O
1575,"Dealers have come to refer to 115 yen as the "" Sakakibara ceiling "" for the dollar following the remark .",O O O O O O O O O O O B-PER O O O O O O O O O
1576,"Adding to the comments by "" Mr Yen "" , as Sakakibara is known for his prominence in the currency market , was BOJ governor Matsushita 's remark .",O O O O O O B-PER I-PER O O O B-PER O O O O O O O O O O O B-ORG O B-PER O O O
1577,""" The recent level of the yen exchange rate has been stable , and it does not appear to be moving towards a further depreciation of the yen immediately , so import prices are likely to stabilise at current levels , "" Matsushita said in an interview with the Nihon Keizai Shimbun .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O B-ORG I-ORG I-ORG O
1578,""" The fact that he touched on the issue of inflation triggered by import prices shows that the BOJ does not want a further depreciation of the yen , past 115 yen , "" said Yasuhito Kawashima , chief forex manager at Toyo Trust & Banking Co .",O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O B-PER I-PER O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
1579,Some said the central bank may have been concerned a weaker yen would lead to unfounded pessimism about Japan 's economy .,O O O O O O O O O O O O O O O O O O B-LOC O O O
1580,""" There was concern that foreign investors may sell Japanese stocks if the dollar goes above 115 yen .",O O O O O O O O O B-MISC O O O O O O O O O
1581,"The BOJ does not want the yen 's weakness to lead to pessimism over the economy , "" said Taisuke Tanaka , market strategist with Credit Suisse in Tokyo .",O B-ORG O O O O O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG O B-LOC O
1582,Senior BOJ officials have separately said financial markets ' views on the economy have been too negative .,O B-ORG O O O O O O O O O O O O O O O O
1583,""" I realise there are negative views in the markets about the impact of the consumption tax hike and drop in public spending , but the markets appear to be exaggerating the magnitude of the negative impact , "" a senior BOJ official told Reuters on Friday .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O B-ORG O O O
1584,The consumption tax is due to raised in April from three to five percent .,O O O O O O O O O O O O O O O
1585,-DOCSTART- Lebanon sentences pro-Israeli warlord to death .,O B-LOC O B-MISC O O O O
1586,Haitham Haddadin,B-ORG I-ORG
1587,BEIRUT 1996-12-06,B-LOC O
1588,A Lebanese military court on Friday sentenced to death in absentia the commander of Israel 's surrogate militia in south Lebanon on treason charges .,O B-MISC O O O O O O O O O O O O B-LOC O O O O O B-LOC O O O O
1589,"The court convicted General Antoine Lahd , head of the South Lebanon Army ( SLA ) , of collaborating with Israel with which Lebanon is officially at war .",O O O O B-PER I-PER O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O B-LOC O O B-LOC O O O O O
1590,"Lahd , a 69-year-old former Lebanese army major-general , heads the 3,000-strong SLA militia which helps Israel hold a border zone in south Lebanon to ward off cross-frontier guerrilla raids on northern Israel .",B-PER O O O O B-MISC O O O O O O B-ORG O O O B-LOC O O O O O O B-LOC O O O O O O O O B-LOC O
1591,Lahd said a few days after the trial began on February 16 that Lebanese authorities must drop the charges or risk blocking any peace deal with the Jewish state .,B-PER O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O B-MISC O O
1592,He said Israel was capable of pressuring Lebanon 's Syrian-backed government to stop the legal pursuit .,O O B-LOC O O O O B-LOC O B-MISC O O O O O O O
1593,"The charges against Lahd were : forming a hostile army , carrying weapons on Israel 's side , helping Israel strip off a part of Lebanese territory by violence , forming an armed gang , killing or trying to kill Lebanese civilians by artillery shelling and kidnapping Lebanese citizens for long periods .",O O O B-PER O O O O O O O O O O B-LOC O O O O B-LOC O O O O O B-MISC O O O O O O O O O O O O O O B-MISC O O O O O O B-MISC O O O O O
1594,"Shortly before Lahd 's trial began , a Beirut military prosecutor charged another 89 former Lebanese army soldiers with collaborating with Israel .",O O B-PER O O O O O B-LOC O O O O O O B-MISC O O O O O B-LOC O
1595,"No date has been set for the trial of the men , all members of the SLA living in the Israeli-held zone in south Lebanon .",O O O O O O O O O O O O O O O O B-ORG O O O B-MISC O O O B-LOC O
1596,Israel and Lahd have repeatedly demanded safety guarantees for the SLA -- a mixed Christian-Shi'ite Moslem force -- which the Jewish states regards as loyal allies .,B-LOC O B-PER O O O O O O O B-ORG O O O B-MISC B-MISC O O O O B-MISC O O O O O O
1597,Israel has said the Lebanese army must incorporate the SLA fighters into its ranks as an army brigade as a condition for peace .,B-LOC O O O B-MISC O O O O B-ORG O O O O O O O O O O O O O O
1598,But Lebanese political analysts have said that would be out of the question and Lebanese authorities pre-empted the issue by taking legal action against Lahd .,O B-MISC O O O O O O O O O O O O B-MISC O O O O O O O O O B-PER O
1599,"Former Israeli Prime Minister Shimon Peres , calling Lahd "" a great Lebanese patriot "" , said earlier this year Lebanon had insulted the SLA commander by ordering his arrest on the treason charges .",O B-MISC O O B-PER I-PER O O B-PER O O O B-MISC O O O O O O O B-LOC O O O B-ORG O O O O O O O O O O
1600,"Peres , who was ousted in May by rightwing Israeli leader Benjamin Netanyahu , said there could not be real negotiations with Lebanon "" unless it will stop the maltreatment of the SLA and its commanders . """,B-PER O O O O O O O O B-MISC O B-PER I-PER O O O O O O O O O B-LOC O O O O O O O O O B-ORG O O O O O
1601,"The Beirut military court also sentenced to life in jail in absentia Etian Saqr , former head of the pro-Israeli Guardians of the Cedars , a small rightwing Christian civil war militia .",O B-LOC O O O O O O O O O O B-PER I-PER O O O O O B-MISC B-ORG I-ORG I-ORG I-ORG O O O O B-MISC O O O O
1602,"Saqr , whose trial was concurrent with Lahd 's , was convicted of "" contacting the Israeli enemy , passing information to Israel and undertaking hostile acts against Lebanon "" .",B-PER O O O O O O B-PER O O O O O O O O B-MISC O O O O O B-LOC O O O O O B-LOC O O
1603,-DOCSTART- Texas / w Okla fed cattle market thin at $ 67 - USDA .,O B-LOC O O B-LOC O O O O O O O O B-ORG O
1604,AMARILLO 1996-12-06,B-LOC O
1605,"Trade was slow in the Panhandle area Friday , USDA said .",O O O O O B-LOC O O O B-ORG O O
1606,Slaughter steers and heifers were $ 1.00 per cwt lower .,O O O O O O O O O O O
1607,Feedlots reporting moderate inquiry .,O O O O O
1608,"Sales reported on 8,200 head slaughter steers and 1,000 heifers ; following weekly movement of 71,200 head .",O O O O O O O O O O O O O O O O O O
1609,Note - all cattle prices based on net weights FOB the feedlot after a 4 percent shrink .,O O O O O O O O O O O O O O O O O O
1610,Slaughter Steers - Select and Choice 2-3 1150-1200 lbs 67.00 .,O O O O O O O O O O O
1611,Slaughter Heifers - Select and Choice 2-3 1050-1100 lbs 67.00 .,O O O O O O O O O O O
1612,"Confirmed - 9,300 Week Ago - None Year Ago - None",O O O O O O O O O O O
1613,( ( Chicago newsdesk 312 408 8720 ) ),O O B-LOC O O O O O O
1614,-DOCSTART- USDA daily cattle and hog slaughter - Dec 6 .,O B-ORG O O O O O O O O O
1615,Est daily livestock slaughter under Fed inspection - USDA,O O O O O B-ORG O O B-ORG
1616,CATTLE CALVES HOGS,O O O
1617,"Friday 12/06/96 ( est ) 132,000 7,000 359,000",O O O O O O O O
1618,"Week ago ( est ) 130,000 6,000 346,000",O O O O O O O O
1619,"Year ago ( act ) 132,000 6,000 336,000",O O O O O O O O
1620,"Saturday 12/07/96 ( est ) 38,000 0 18,000",O O O O O O O O
1621,"Week to date ( est ) 688,000 31,000 1,810,000",O O O O O O O O O
1622,"Same Period Last Week ( est ) 601,000 26,000 1,547,000",O O O O O O O O O O
1623,"Same Period Last Year* ( act ) 685,000 31,000 1,914,000",O O O O O O O O O O
1624,"1996 Year to date 33,549,000 1,589,000 84,894,000",O O O O O O O
1625,"1995 Year to date* 32,970,000 1,305,000 88,800,000",O O O O O O O
1626,Percent change 1.8 % 21.8 % - 4.4 %,O O O O O O O O O
1627,*1995 totals adjusted to reflect NASS revisions 1996 Totals are subject to revision Yearly totals may not add due to rounding .,O O O O O B-ORG O O O O O O O O O O O O O O O O
1628,Previous day estimated Steer and Heifer Cow and Bull,O O O O O O O O O
1629,"Thursday 100,000 33,000",O O O
1630,"-DOCSTART- BALANCE - Hartford , Conn .",O O O B-LOC O B-LOC O
1631,", $ 11 mln .",O O O O O
1632,"CITY OF HARTFORD , CONNECTICUT",O O B-LOC O B-LOC
1633,"RE : $ 25,000,000",O O O O
1634,GENERAL OBLIGATION BONDS,O O O
1635,MOODY 'S : Aaa / A1 S&P : AAA / AA-,B-ORG I-ORG O O O O B-ORG O O O O
1636,Delivery Date : 12/16/1996,O O O O
1637,FSA INSURED,B-ORG O
1638,Maturity Balance Coupon List,O O O O
1639,"12/15/2000 1,250M 6.25 4.10",O O O O
1640,12/15/2001 575M 4.60 4.20,O O O O
1641,12/15/2003 265M 4.40 4.40,O O O O
1642,12/15/2004 625M 4.50 4.50,O O O O
1643,12/15/2005 55M 4.60 4.60,O O O O
1644,12/15/2006 145M 4.70 4.70,O O O O
1645,12/15/2007 850M 4.85 4.85,O O O O
1646,"12/15/2008 1,200M 4.95 4.95",O O O O
1647,"12/15/2009 1,240M 5.05 5.05",O O O O
1648,"12/15/2010 1,250M 5.15 5.15",O O O O
1649,"12/15/2011 1,240M 5.25 5.25",O O O O
1650,"12/15/2012 1,200M 5.25 5.30",O O O O
1651,"12/15/2013 1,135M 5.30 5.35",O O O O
1652,12/15/2014 850M 5.30 5.35,O O O O
1653,"Total : 11,880M",O O O
1654,State Street Bank and Trust Company,B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG
1655,Prudential Securities Incorporated,B-ORG I-ORG I-ORG
1656,PaineWebber Incorporated,B-ORG I-ORG
1657,First Union Capital Markets Corp. - NJ,B-ORG I-ORG I-ORG I-ORG I-ORG O B-LOC
1658,"-- U.S. Municipal Desk , 212-859-1650",O B-ORG I-ORG I-ORG O O
1659,"-DOCSTART- 14 years later , Florida man dies for killing .",O O O O O B-LOC O O O O O
1660,"TALLAHASSEE , Fla. 1996-12-06",B-LOC O B-LOC O
1661,"Fourteen years after he bludgeoned and shot a man whose trailer home he robbed in 1982 , John Mills Jr .",O O O O O O O O O O O O O O O O O B-PER I-PER O O
1662,", 41 , was put to death in Florida 's electric chair Friday .",O O O O O O O O B-LOC O O O O O
1663,"As Glenn Lawhon , a rural Florida minister who is the victim 's father , looked on , Mills was pronounced dead at 7:13 a.m. EST ( 1213 GMT ) for the murder of Lester Lawhon .",O B-PER I-PER O O O B-LOC O O O O O O O O O O O B-PER O O O O O O O O O B-MISC O O O O O B-PER I-PER O
1664,"Speaking in Arabic , Mills made a final statement before an anonymous citizen flipped the switch that sent 2000 volts of electricity through his body , said Department of Corrections spokesman Eugene Morris , who was present at the execution .",O O B-MISC O B-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-PER I-PER O O O O O O O O
1665,""" I bear witness that there is no God but Allah and I bear witness that the prophet Mohammed is the messenger of God , "" he quoted Mills as saying .",O O O O O O O O B-PER O B-PER O O O O O O O B-PER O O O O B-PER O O O O B-PER O O O
1666,"Prison officials said they had no record of Mills ' official conversion , but they said that , on May 14 , 1991 , he had asked that a new name , Yuhanna Abdullah Muhammed , be added to his prison file , which is usually an indication of a conversion to Islam .",O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O O B-MISC O
1667,Mills is the 38th person to die in Florida 's electric chair since the U.S. Supreme Court reversed itself in 1976 and legalised the death penalty .,B-PER O O O O O O O B-LOC O O O O O B-ORG I-ORG I-ORG O O O O O O O O O O
1668,"Prison officials said Mills made no special request for a last meal and did not eat the steak , fried potatoes and orange juice offered him .",O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O
1669,"He spent Thursday with family members and his spiritual adviser , Morris said .",O O O O O O O O O O O B-PER O O
1670,Mills was scheduled to die Wednesday but had his sentence temporarily postponed by the Florida Supreme Court .,B-PER O O O O O O O O O O O O O B-ORG I-ORG I-ORG O
1671,"On Thursday , the 11th Circuit U.S. Court of Appeals in Atlanta denied his appeal in federal court .",O O O O O O B-ORG I-ORG I-ORG I-ORG O B-LOC O O O O O O O
1672,"In March 1982 , Mills and accomplice Michael Frederick knocked on the door of Lester Lawhon 's trailer in an attempt to rob it , police said .",O O O O B-PER O O B-PER I-PER O O O O O B-PER I-PER O O O O O O O O O O O O
1673,Lester Lawhon was taken to a nearby airstrip where he was bludgeoned with a tire iron .,B-PER I-PER O O O O O O O O O O O O O O O
1674,Mills then fired two shots that killed Lawhon as the victim tried to run away .,B-PER O O O O O O B-PER O O O O O O O O
1675,Frederick is serving a 347-year sentence .,B-PER O O O O O O
1676,-DOCSTART- New York grain freight fixtures - Dec 5 .,O B-LOC I-LOC O O O O O O O
1677,NEW YORK 1996-12-06,B-LOC I-LOC O
